[Tue Feb 10 21:08:09 2026] IP: 127.0.0.1 | Status: 200 | URL: www.cs.princeton.edu
[Tue Feb 10 21:08:27 2026] IP: 127.0.0.1 | Status: 403 | URL: www.facebook.com
[Tue Feb 10 21:18:03 2026] IP: 127.0.0.1 | Status: 200 | URL: www.cs.princeton.edu
[Tue Feb 10 21:18:07 2026] IP: 127.0.0.1 | Status: 403 | URL: www.facebook.com
[Tue Feb 10 21:18:39 2026] IP: 127.0.0.1 | Status: 200 | URL: www.youtube.com
[Tue Feb 10 21:18:41 2026] IP: 127.0.0.1 | Status: 200 | URL: gemini.google.com
[Tue Feb 10 21:18:41 2026] IP: 127.0.0.1 | Status: 200 | URL: play.google.com
[Tue Feb 10 21:18:41 2026] IP: 127.0.0.1 | Status: 200 | URL: www.google.com
[Tue Feb 10 21:18:42 2026] IP: 127.0.0.1 | Status: 200 | URL: encrypted-tbn0.gstatic.com
[Tue Feb 10 21:18:43 2026] IP: 127.0.0.1 | Status: 200 | URL: www.google.com
[Tue Feb 10 21:18:43 2026] IP: 127.0.0.1 | Status: 200 | URL: mozilla-ohttp.fastly-edge.com
[Tue Feb 10 21:18:43 2026] IP: 127.0.0.1 | Status: 200 | URL: www.gstatic.com
[Tue Feb 10 21:18:43 2026] IP: 127.0.0.1 | Status: 200 | URL: lh3.google.com
[Tue Feb 10 21:18:43 2026] IP: 127.0.0.1 | Status: 200 | URL: csp.withgoogle.com
[Tue Feb 10 21:18:43 2026] IP: 127.0.0.1 | Status: 200 | URL: ogads-pa.clients6.google.com
[Tue Feb 10 21:18:43 2026] IP: 127.0.0.1 | Status: 200 | URL: waa-pa.clients6.google.com
[Tue Feb 10 21:18:43 2026] IP: 127.0.0.1 | Status: 200 | URL: lh3.googleusercontent.com
[Tue Feb 10 21:18:44 2026] IP: 127.0.0.1 | Status: 200 | URL: ogads-pa.clients6.google.com
[Tue Feb 10 21:18:44 2026] IP: 127.0.0.1 | Status: 200 | URL: accounts.google.com
[Tue Feb 10 21:18:44 2026] IP: 127.0.0.1 | Status: 200 | URL: waa-pa.clients6.google.com
[Tue Feb 10 21:18:44 2026] IP: 127.0.0.1 | Status: 200 | URL: incoming.telemetry.mozilla.org
[Tue Feb 10 21:18:45 2026] IP: 127.0.0.1 | Status: 200 | URL: signaler-pa.clients6.google.com
[Tue Feb 10 21:18:45 2026] IP: 127.0.0.1 | Status: 200 | URL: signaler-pa.clients6.google.com
[Tue Feb 10 21:18:47 2026] IP: 127.0.0.1 | Status: 200 | URL: ogs.google.com
[Tue Feb 10 21:18:48 2026] IP: 127.0.0.1 | Status: 200 | URL: rr1---sn-h557sn6s.googlevideo.com
[Tue Feb 10 21:18:48 2026] IP: 127.0.0.1 | Status: 403 | URL: www.facebook.com
[Tue Feb 10 21:19:37 2026] IP: 127.0.0.1 | Status: 200 | URL: analytics.google.com
[Tue Feb 10 21:19:37 2026] IP: 127.0.0.1 | Status: 200 | URL: www.google.co.in
[Tue Feb 10 21:19:55 2026] IP: 127.0.0.1 | Status: 200 | URL: fonts.gstatic.com
[Tue Feb 10 21:20:18 2026] IP: 127.0.0.1 | Status: 200 | URL: accounts.youtube.com
